Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
ACTS1	Malonyl-CoA-ACP transacylase (actinorhodin ACP)	ACPact[c] + malcoa[c]  <=> coa[c] + malACPact[c] 	SCO5089	1	-1000.00	1000.00	  0.00
ACTS10	actIII ketoacyl reductase	actint1ACPact[c] + nadph[c] + h[c]  -> actint2ACPact[c] + nadp[c] 	SCO5086	0	  0.00	1000.00	  0.00
ACTS11	actVII aromatase	actint2ACPact[c]  -> actint3ACPact[c] + 2 h2o[c] 	SCO5090	0	  0.00	1000.00	  0.00
ACTS12	actIV cyclase	actint3ACPact[c]  -> h2o[c] + actint4ACPact[c] 	SCO5091	0	  0.00	1000.00	  0.00
ACTS13	hydroxylacyl-CoA dehydrogenase	nadph[c] + h[c] + actint4ACPact[c]  -> nadp[c] + actint5ACPact[c] 	SCO5072	0	  0.00	1000.00	  0.00
ACTS14	actVI dehydratase	actint5ACPact[c]  -> h2o[c] + dnpaACPact[c] 	(SCO5071 or SCO5072 or SCO5074)	0	  0.00	1000.00	  0.00
ACTS15	actVI oxidoreductase	nadph[c] + h[c] + dnpaACPact[c]  -> nadp[c] + ddhkACPact[c] 	(SCO5023 or SCO5075)	0	  0.00	1000.00	  0.00
ACTS16	actVA-5/actVB monooxygenase	ddhkACPact[c] + o2[c]  -> h2o[c] + dhkACPact[c] 	((SCO5080 and SCO5092) or SCO5081)	0	  0.00	1000.00	  0.00
ACTS17	actVA-5/actVB monooxygenase 2	h[c] + o2[c] + dhkACPact[c] + nadh[c]  -> h2o[c] + hdhkACPact[c] + nad[c] 	(SCO5080 and SCO5092)	0	  0.00	1000.00	  0.00
ACTS18	hydroxylated dihydrokalafungin thioesterase	h2o[c] + hdhkACPact[c]  -> ACPact[c] + h[c] + hdhk[c] 		0	  0.00	1000.00	  0.00
ACTS19	hydroxylated dihydrokalafungin dimerization	nad[c] + 2 hdhk[c]  -> h[c] + nadh[c] + ACT[c] 		0	  0.00	1000.00	  0.00
ACTS2	polyketide chain elongation 1	malACPact[c] + h[c] + accoa[c]  -> coa[c] + actACPact[c] + co2[c] 	(SCO5087 and SCO5088)	0	  0.00	1000.00	  0.00
ACTS3	polyketide chain elongation 2	malcoa[c] + h[c] + actACPact[c]  -> coa[c] + co2[c] + pk6ACPact[c] 	(SCO5087 and SCO5088)	0	  0.00	1000.00	  0.00
ACTS4	polyketide chain elongation 3	malcoa[c] + h[c] + pk6ACPact[c]  -> coa[c] + co2[c] + pk8ACPact[c] 	(SCO5087 and SCO5088)	0	  0.00	1000.00	  0.00
ACTS5	polyketide chain elongation 4	malcoa[c] + h[c] + pk8ACPact[c]  -> coa[c] + co2[c] + pk10ACPact[c] 	(SCO5087 and SCO5088)	0	  0.00	1000.00	  0.00
ACTS6	polyketide chain elongation 5	malcoa[c] + h[c] + pk10ACPact[c]  -> coa[c] + co2[c] + pk12ACPact[c] 	(SCO5087 and SCO5088)	0	  0.00	1000.00	  0.00
ACTS7	polyketide chain elongation 6	malcoa[c] + h[c] + pk12ACPact[c]  -> coa[c] + co2[c] + pk14ACPact[c] 	(SCO5087 and SCO5088)	0	  0.00	1000.00	  0.00
ACTS8	polyketide chain elongation 7	malcoa[c] + h[c] + pk14ACPact[c]  -> coa[c] + co2[c] + pk16ACPact[c] 	(SCO5087 and SCO5088)	0	  0.00	1000.00	  0.00
ACTS9	actI cyclase	pk16ACPact[c]  -> actint1ACPact[c] 	(SCO5087 and SCO5088)	0	  0.00	1000.00	  0.00
ALAD_L	L-alanine dehydrogenase	h2o[c] + nad[c] + ala-L[c]  -> h[c] + nadh[c] + nh4[c] + pyr[c] 	SCO1773	0	  0.00	1000.00	  0.00
ALAR	alanine racemase	ala-L[c]  <=> ala-D[c] 	SCO4745	1	-1000.00	1000.00	  0.00
ALATA_L	L-alanine transaminase	ala-L[c] + akg[c]  <=> pyr[c] + glu-L[c] 	(SCO4984 or SCO6222)	1	-1000.00	1000.00	  0.00
APAT2r	3-Aminopropanoate:2-oxoglutarate aminotransferase	akg[c] + ala-B[c]  <=> glu-L[c] + msa[c] 	(SCO5676 or SCO7034 or SCO3622)	1	-1000.00	1000.00	  0.00
ASNN	L-asparaginase	h2o[c] + asn-L[c]  -> nh4[c] + asp-L[c] 		0	  0.00	1000.00	  0.00
ASNS1	asparagine synthase (glutamine-hydrolysing)	h2o[c] + asp-L[c] + atp[c] + gln-L[c]  -> h[c] + glu-L[c] + asn-L[c] + amp[c] + ppi[c] 	SCO0386	0	  0.00	1000.00	  0.00
ASPO1	L-aspartate oxidase	h2o[c] + o2[c] + asp-L[c]  -> nh4[c] + h2o2[c] + oaa[c] 	SCO3382	0	  0.00	1000.00	  0.00
ASPTA	aspartate transaminase	akg[c] + asp-L[c]  <=> glu-L[c] + oaa[c] 	(SCO4645 or SCO3658)	1	-1000.00	1000.00	  0.00
3OXCOAT	3-oxoadipyl-CoA thiolase	coa[c] + oxadpcoa[c]  -> accoa[c] + succoa[c] 	(SCO6701 or SCO6967 or SCO3079 or SCO6731)	0	  0.00	1000.00	  0.00
5DGLCNR	5-dehydro-D-gluconate reductase	nadph[c] + h[c] + 5dglcn[c]  <=> nadp[c] + glcn[c] 	SCO1681	1	-1000.00	1000.00	  0.00
6PHBG	6-phospho-beta-glucosidase	h2o[c] + salc6p[c]  -> 2hymeph[c] + g6p[c] 	(SCO2661 or SCO6670)	0	  0.00	1000.00	  0.00
AAMYLe	alpha-amylase	14glucan[e]  -> malthx[e] 	SCO2226	0	  0.00	1000.00	  0.00
ACM6PH	N-acetylmuramate 6-phosphate hydrolase	h2o[c] + acmum6p[c]  -> acgam6p[c] + lac-D[c] 	SCO4307	0	  0.00	1000.00	  0.00
ACS2	acetyl-CoA synthase (propionate)	coa[c] + atp[c] + ppa[c]  -> amp[c] + ppi[c] + ppcoa[c] 	SCO3563	0	  0.00	1000.00	  0.00
ADNUC	adenosine hydrolase	h2o[c] + adn[c]  -> ade[c] + rib-D[c] 	SCO3779	0	  0.00	1000.00	  0.00
AGDC	N-acetylglucosamine-6-phosphate deacetylase	h2o[c] + acgam6p[c]  -> ac[c] + gam6p[c] 	SCO4284	0	  0.00	1000.00	  0.00
ALCD19	alcohol dehydrogenase (glycerol)	h[c] + nadh[c] + glyald[c]  <=> nad[c] + glyc[c] 	(SCO0199 or SCO0259 or SCO5262 or SCO7362)	1	-1000.00	1000.00	  0.00
ALCD19y	alcohol dehydrogenase (glycerol, NADP)	nadph[c] + h[c] + glyald[c]  <=> nadp[c] + glyc[c] 	(SCO4945 or SCO4271)	1	-1000.00	1000.00	  0.00
ALDD1	aldehyde dehydrogenase (formaldehyde, NAD)	h2o[c] + nad[c] + fald[c]  -> 2 h[c] + nadh[c] + for[c] 	SCO4055	0	  0.00	1000.00	  0.00
ALDD19x	aldehyde dehydrogenase (phenylacetaldehyde, NAD)	h2o[c] + nad[c] + pacald[c]  -> 2 h[c] + nadh[c] + pac[c] 	SCO1612	0	  0.00	1000.00	  0.00
ALDD2x	aldehyde dehydrogenase (acetaldehyde, NAD)	h2o[c] + nad[c] + acald[c]  -> 2 h[c] + nadh[c] + ac[c] 	(SCO1174 or SCO1706 or SCO3420 or SCO4913 or SCO5679)	0	  0.00	1000.00	  0.00
ALLTAMH	allantoate amidohydrolase	2 h[c] + 2 h2o[c] + alltt[c]  -> co2[c] + 2 nh4[c] + urdglyc[c] 	SCO3072	0	  0.00	1000.00	  0.00
AMALT1	Amylomaltase (maltotriose)	malt[c] + malttr[c]  -> glc-D[c] + maltttr[c] 	SCO2649	0	  0.00	1000.00	  0.00
AMALT2	Amylomaltase (maltotetraose)	malt[c] + maltttr[c]  -> glc-D[c] + maltpt[c] 	SCO2649	0	  0.00	1000.00	  0.00
AMALT3	Amylomaltase (maltopentaose)	malt[c] + maltpt[c]  -> glc-D[c] + malthx[c] 	SCO2649	0	  0.00	1000.00	  0.00
AMALT4	Amylomaltase (maltohexaose)	malt[c] + malthx[c]  -> glc-D[c] + malthp[c] 	SCO2649	0	  0.00	1000.00	  0.00
ARAI	L-arabinose isomerase	arab-L[c]  <=> rbl-L[c] 		1	-1000.00	1000.00	  0.00
BGLU	b-glucosidase (cellobiose)	h2o[c] + celb[c]  -> 2 glc-D[c] 	(SCO0293 or SCO0458 or SCO1059 or SCO2531 or SCO2798 or SCO5685 or SCO6597 or SCO6604 or SCO7031 or SCO7558)	0	  0.00	1000.00	  0.00
CYTDH	Cytidine hydrolase	h2o[c] + cytd[c]  -> rib-D[c] + csn[c] 	SCO3779	0	  0.00	1000.00	  0.00
DABTD	D-arabinitol 4-dehydrogenase (NAD)	nad[c] + abt-D[c]  -> h[c] + nadh[c] + xylu-D[c] 		0	  0.00	1000.00	  0.00
DCH	diacetylchitobiose hydrolase	h2o[c] + chtbs[c]  -> 2 acgam[c] 	(SCO2758 or SCO2786 or SCO2943 or SCO4860)	0	  0.00	1000.00	  0.00
DDGLK	2-dehydro-3-deoxygluconokinase	atp[c] + 2ddglcn[c]  -> h[c] + 2ddg6p[c] + adp[c] 	(SCO0851 or SCO3474 or SCO3494)	0	  0.00	1000.00	  0.00
DHACOAH	2,3-dehydroadipyl-CoA hydratase	h2o[c] + 23dhacoa[c]  <=> 3hadpcoa[c] 	(SCO6732 or SCO4384)	1	-1000.00	1000.00	  0.00
DHAK	dihydroxyacetone kinase	atp[c] + dha[c]  -> h[c] + adp[c] + dhap[c] 	SCO0580	0	  0.00	1000.00	  0.00
DHDGLCD	5-dehydro-4-deoxyglucarate dehydratase	h[c] + 5dh4dglc[c]  -> h2o[c] + co2[c] + 25dptn[c] 	(SCO1895 or SCO2543)	0	  0.00	1000.00	  0.00
DRBK	Deoxyribokinase	atp[c] + drib[c]  -> h[c] + adp[c] + 2dr5p[c] 	SCO2748	0	  0.00	1000.00	  0.00
DRPA	deoxyribose-phosphate aldolase	2dr5p[c]  -> acald[c] + g3p[c] 	SCO4914	0	  0.00	1000.00	  0.00
DTARTD	D(-)-tartrate dehydratase	tartr-D[c]  -> h2o[c] + oaa[c] 	SCO5044	0	  0.00	1000.00	  0.00
EPMGH	epimelibiose galactohydrolase	h2o[c] + epm[c]  -> gal[c] + man[c] 	(SCO0274 or SCO0541)	0	  0.00	1000.00	  0.00
FDH	formate dehydrogenase	nad[c] + for[c]  -> nadh[c] + co2[c] 	SCO6561	0	  0.00	1000.00	  0.00
FORCT	Formyl-CoA Transferase	forcoa[c] + oxa[c]  <=> for[c] + oxalcoa[c] 	SCO6583	1	-1000.00	1000.00	  0.00
FRUK	fructose-1-phosphate kinase	atp[c] + f1p[c]  -> h[c] + adp[c] + fdp[c] 	SCO3197	0	  0.00	1000.00	  0.00
G3PD2	glycerol-3-phosphate dehydrogenase (NADP)	nadp[c] + glyc3p[c]  <=> nadph[c] + h[c] + dhap[c] 	SCO5559	1	-1000.00	1000.00	  0.00
G6PDA	glucosamine-6-phosphate deaminase	h2o[c] + gam6p[c]  -> nh4[c] + f6p[c] 	SCO5236	0	  0.00	1000.00	  0.00
GAL6PI	galactose-6-phosphate isomerase	dgal6p[c]  <=> tag6p-D[c] 	SCO5849	1	-1000.00	1000.00	  0.00
GALCTND	galactonate dehydratase	galctn-D[c]  -> h2o[c] + 2dh3dgal[c] 	(SCO2401 or SCO3475)	0	  0.00	1000.00	  0.00
GALIGH	1-alpha-D-Galactosyl-myo-inositol galactohydrolase	h2o[c] + 1Dgali[c]  -> gal[c] + inost[c] 	(SCO0274 or SCO0541)	0	  0.00	1000.00	  0.00
